customer_id,application_date,loan_amount,interest_rate,tenure_years,credit_score,employment_type,property_value,EMI,default_flag,years_before_default,outstanding_principal,recovery_value,LGD,EAD,PD,EL
1,2015-01-01,7423388,6.63,25,818,Self-employed,11588679.896260977,50728.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
2,2015-01-02,7550634,8.11,10,311,Self-employed,9789522.564253021,92049.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
3,2015-01-03,5304572,9.75,25,827,Self-employed,7343342.483469388,47271.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
4,2015-01-04,3234489,10.3,30,854,Self-employed,4051039.412721028,29105.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
5,2015-01-05,8204212,8.05,20,672,Self-employed,9489344.586238585,68879.0,0,,0.0,0.0,0.0,0.0,0.1,0.0
6,2015-01-06,5472471,7.34,30,783,Salaried,7571035.232088184,37667.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
7,2015-01-07,5523669,11.51,15,527,Self-employed,8040694.069591474,64562.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
8,2015-01-08,8404852,12.41,25,606,Self-employed,13907154.833159963,91079.0,0,,0.0,0.0,0.0,0.0,0.1,0.0
9,2015-01-09,5981505,9.65,25,756,Self-employed,7743532.588573819,52885.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
10,2015-01-10,2766891,7.53,15,459,Self-employed,3839265.235200971,25697.0,1,1.0,2582431.6,3512298.0504226456,0.0,2582431.6,0.3,0.0
11,2015-01-11,5521373,8.13,15,630,Salaried,7750440.157347609,53180.0,0,,0.0,0.0,0.0,0.0,0.1,0.0
12,2015-01-12,7019877,6.61,20,524,Salaried,10719323.551113786,52794.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
13,2015-01-13,4344769,11.99,25,803,Salaried,5959766.8678584695,45728.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
14,2015-01-14,1103355,7.21,25,755,Salaried,1232340.9391776135,7947.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
15,2015-01-15,2262752,9.96,20,344,Salaried,3282555.992603612,21776.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
16,2015-01-16,6664789,8.14,10,513,Salaried,8545572.803874716,81356.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
17,2015-01-17,6743066,9.83,20,358,Self-employed,8095441.335568553,64314.0,1,2.0,6068759.4,7231422.139992158,0.0,6068759.4,0.3,0.0
18,2015-01-18,7113790,10.41,30,494,Salaried,8625417.258123953,64594.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
19,2015-01-19,5721339,11.48,25,788,Salaried,8189342.394592494,58072.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
